ts,id,value,label
1587640434617,pump-1,18.340181, 0
1587640437999,pump-2,12.703972, 0
1587640439618,pump-1,17.647661, 0
1587640442999,pump-2,13.805114, 0
1587640444617,pump-1,16.874933, 0
1587640447999,pump-2,15.415206, 0
1587640449617,pump-1,16.180807, 0
1587640452999,pump-2,15.922729, 0
1587640454618,pump-1,15.407113, 0
1587640457999,pump-2,17.051560, 0
1587640459617,pump-1,15.324012, 0
1587640462999,pump-2,17.795010, 0
1587640464617,pump-1,13.470387, 0
1587640467999,pump-2,19.433830, 0
1587640469617,pump-1,11.702384, 0
1587640472999,pump-2,19.150144, 0
1587640474617,pump-1,11.176102, 0
1587640477999,pump-2,46.499027, 1
1587640479617,pump-1,10.678349, 0
1587640482999,pump-2,18.245524, 0
1587640484617,pump-1,9.831242, 0
1587640488000,pump-2,16.621397, 0
1587640489619,pump-1,11.555063, 0
1587640492999,pump-2,15.315631, 0
1587640494617,pump-1,13.197594, 0
1587640497999,pump-2,14.615623, 0
1587640499617,pump-1,14.337077, 0
1587640502999,pump-2,12.679268, 0
1587640504617,pump-1,15.020920, 0
1587640507999,pump-2,11.865252, 0
1587640509617,pump-1,15.802650, 0
1587640512999,pump-2,10.017092, 0
1587640514617,pump-1,17.343995, 0
1587640517999,pump-2,8.121841, 0
1587640519617,pump-1,16.413220, 0
1587640522999,pump-2,8.558097, 0
1587640524617,pump-1,15.711286, 0
1587640527999,pump-2,9.299957, 0
1587640529617,pump-1,14.035776, 0
1587640532999,pump-2,11.262182, 0
1587640534617,pump-1,12.314211, 0
1587640537999,pump-2,13.198392, 0
1587640539617,pump-1,11.173016, 0
1587640542999,pump-2,14.223926, 0
1587640544617,pump-1,10.768019, 0
1587640547999,pump-2,15.284210, 0
1587640549617,pump-1,9.691997, 0
1587640552999,pump-2,16.966424, 0
1587640554617,pump-1,10.818096, 0
1587640557999,pump-2,18.200556, 0
1587640559617,pump-1,12.299118, 0
1587640562999,pump-2,16.396549, 0
1587640564617,pump-1,12.869831, 0
1587640567999,pump-2,15.270500, 0
1587640569617,pump-1,36.690836, 1
1587640572999,pump-2,13.426083, 0
1587640574617,pump-1,16.278101, 0
1587640577999,pump-2,30.381902, 1
1587640579617,pump-1,18.210040, 0
1587640582999,pump-2,11.215802, 0
1587640584617,pump-1,18.037584, 0
1587640587999,pump-2,10.434864, 0
1587640589617,pump-1,16.514194, 0
1587640593001,pump-2,9.243533, 0
1587640594617,pump-1,16.403727, 0
1587640597999,pump-2,11.117997, 0
1587640599617,pump-1,14.559410, 0
1587640602999,pump-2,12.860089, 0
1587640604617,pump-1,12.633224, 0
1587640607999,pump-2,14.477295, 0
1587640609617,pump-1,10.717098, 0
1587640612999,pump-2,15.159287, 0
1587640614617,pump-1,10.013827, 0
1587640617999,pump-2,16.642599, 0
1587640619617,pump-1,9.649708, 0
1587640622999,pump-2,18.268164, 0
1587640624617,pump-1,11.107449, 0
1587640627999,pump-2,16.538235, 0
1587640629617,pump-1,11.535809, 0
1587640632999,pump-2,14.926392, 0
1587640634617,pump-1,13.275943, 0
1587640637999,pump-2,14.679422, 0
1587640639617,pump-1,14.296203, 0
1587640642999,pump-2,13.441886, 0
1587640644618,pump-1,14.888701, 0
1587640647999,pump-2,12.509389, 0
1587640649617,pump-1,15.476554, 0
1587640652999,pump-2,12.459790, 0
1587640654617,pump-1,17.433367, 0
1587640658001,pump-2,11.442356, 0
1587640659617,pump-1,17.210221, 0
1587640662999,pump-2,11.258494, 0
1587640664617,pump-1,16.299877, 0
1587640667999,pump-2,10.846846, 0
1587640669617,pump-1,15.720219, 0
1587640672999,pump-2,9.930014, 0
1587640674617,pump-1,14.326126, 0
1587640677999,pump-2,27.098402, 1
1587640679617,pump-1,13.264555, 0
1587640682999,pump-2,12.793058, 0
1587640684617,pump-1,13.038821, 0
1587640688000,pump-2,13.200207, 0
1587640689617,pump-1,11.144888, 0
1587640692999,pump-2,13.370545, 0
1587640694617,pump-1,9.695470, 0
1587640697999,pump-2,13.663083, 0
1587640699617,pump-1,9.818152, 0
1587640702999,pump-2,15.260543, 0
1587640704617,pump-1,10.595578, 0
1587640707999,pump-2,15.474181, 0
1587640709617,pump-1,12.267121, 0
1587640712999,pump-2,15.764316, 0
1587640714617,pump-1,14.260550, 0
1587640717999,pump-2,16.568671, 0
1587640719617,pump-1,15.455261, 0
1587640722999,pump-2,17.829664, 0
1587640724617,pump-1,16.652005, 0
1587640727999,pump-2,18.758459, 0
1587640729617,pump-1,17.741029, 0
1587640732999,pump-2,17.342749, 0
1587640734617,pump-1,17.492530, 0
1587640737999,pump-2,16.959435, 0
1587640739617,pump-1,16.290143, 0
1587640742999,pump-2,15.929341, 0
1587640744619,pump-1,15.945017, 0
1587640747999,pump-2,15.852386, 0
1587640749617,pump-1,15.178494, 0
1587640752999,pump-2,14.168983, 0
1587640754617,pump-1,14.309016, 0
1587640757999,pump-2,12.818634, 0
1587640759617,pump-1,13.178729, 0
1587640762999,pump-2,12.067360, 0
1587640764618,pump-1,11.515797, 0
1587640767999,pump-2,12.002743, 0
1587640769617,pump-1,10.215053, 0
1587640772999,pump-2,10.640082, 0
1587640774617,pump-1,8.373470, 0
1587640778000,pump-2,23.285751, 1
1587640779617,pump-1,9.515462, 0
1587640782999,pump-2,11.002866, 0
1587640784617,pump-1,9.625459, 0
1587640787999,pump-2,11.384216, 0
1587640789617,pump-1,10.106620, 0
1587640792999,pump-2,12.428994, 0
1587640794617,pump-1,10.926193, 0
1587640797999,pump-2,13.231839, 0
1587640799617,pump-1,12.450826, 0
1587640802999,pump-2,13.254292, 0
1587640804618,pump-1,13.533894, 0
1587640807999,pump-2,14.757459, 0
1587640809617,pump-1,13.804645, 0
1587640812999,pump-2,15.799753, 0
1587640814617,pump-1,15.744194, 0
1587640817999,pump-2,16.246085, 0
1587640819618,pump-1,17.127318, 0
1587640822999,pump-2,17.492358, 0
1587640824617,pump-1,15.553445, 0
1587640827999,pump-2,18.076614, 0
1587640829617,pump-1,14.132293, 0
1587640833000,pump-2,17.508483, 0
1587640834617,pump-1,13.364370, 0
1587640837999,pump-2,16.034000, 0
1587640839617,pump-1,12.359368, 0
1587640842999,pump-2,14.806763, 0
1587640844618,pump-1,11.514429, 0
1587640847999,pump-2,13.035554, 0
1587640849617,pump-1,11.089619, 0
1587640852999,pump-2,12.859512, 0
1587640854617,pump-1,9.679927, 0
1587640857999,pump-2,12.741671, 0
1587640859617,pump-1,11.029811, 0
1587640862999,pump-2,11.348934, 0
1587640864617,pump-1,12.662729, 0
1587640867999,pump-2,10.153500, 0
1587640869617,pump-1,13.590655, 0
1587640872999,pump-2,9.935289, 0
1587640874617,pump-1,14.780586, 0
1587640877999,pump-2,27.518014, 1
1587640879617,pump-1,16.206462, 0
1587640882999,pump-2,11.179985, 0
1587640884618,pump-1,16.632557, 0
1587640887999,pump-2,12.554699, 0
